"Reference","Value","Footprint","Datasheet","Description"
"BTN1","BTN1","Button_Switch_SMD:SW_SPST_B3S-1000","",""
"BTN2","BTN2","Button_Switch_SMD:SW_SPST_B3S-1000","",""
"BTN3","BTN3","Button_Switch_SMD:SW_SPST_B3S-1000","",""
"C1","22uF/25V","Capacitor_SMD:C_1210_3225Metric","",""
"C2,C3","10uF","Capacitor_SMD:C_0805_2012Metric","",""
"C4","100nF","Capacitor_SMD:C_0402_1005Metric","",""
"C5,C6","1uF","Capacitor_SMD:C_0603_1608Metric","",""
"C7-C10","100nF","Capacitor_SMD:C_0603_1608Metric","",""
"F1","MF-R050","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","",""
"J1","RJ45","Connector_RJ:RJ45_Amphenol_RJHSE5380","",""
"J2","EPD_FFC_24","Connector_FFC-FPC:Hirose_FH12-24S-0.5SH_1x24-1MP_P0.50mm_Horizontal","",""
"J3","UART-DBG","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","",""
"J4","USB-OTG","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","",""
"MOD1","ESP32-S3-WROOM-1-N16R8","RF_Module:ESP32-S3-WROOM-1U","",""
"R1","10k","Resistor_SMD:R_0805_2012Metric","",""
"R2","120","Resistor_SMD:R_0805_2012Metric","",""
"R3,R4","680","Resistor_SMD:R_0805_2012Metric","",""
"R5-R7","1M","Resistor_SMD:R_0805_2012Metric","",""
"TVS1","SMAJ15A","Diode_SMD:D_SMA","",""
"TVS2","SMAJ12CA","Diode_SMD:D_SMA","",""
"U1","R-78E3.3-0.5","Converter_DCDC:Converter_DCDC_RECOM_R-78E-0.5_THT","",""
"U2","SN65HVD3082E","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","",""
