Ref,Val,Package,PosX,PosY,Rot,Side
"C2","10uF","C_0805_2012Metric",54.000000,-44.000000,0.000000,bottom
"C3","10uF","C_0805_2012Metric",58.000000,-44.000000,0.000000,bottom
"C4","100nF","C_0402_1005Metric",62.000000,-44.000000,0.000000,bottom
"C5","1uF","C_0603_1608Metric",66.000000,-44.000000,0.000000,bottom
"C6","1uF","C_0603_1608Metric",50.000000,-47.000000,0.000000,bottom
"C7","100nF","C_0603_1608Metric",54.000000,-47.000000,0.000000,bottom
"C8","100nF","C_0603_1608Metric",30.000000,-52.000000,0.000000,bottom
"C9","100nF","C_0603_1608Metric",48.000000,-52.000000,0.000000,bottom
"C10","100nF","C_0603_1608Metric",66.000000,-52.000000,0.000000,bottom
"R1","10k","R_0805_2012Metric",50.000000,-44.000000,0.000000,bottom
"R2","120","R_0805_2012Metric",45.000000,-18.000000,0.000000,bottom
"R3","680","R_0805_2012Metric",45.000000,-22.000000,0.000000,bottom
"R4","680","R_0805_2012Metric",45.000000,-26.000000,0.000000,bottom
"R5","1M","R_0805_2012Metric",26.000000,-52.000000,0.000000,bottom
"R6","1M","R_0805_2012Metric",44.000000,-52.000000,0.000000,bottom
"R7","1M","R_0805_2012Metric",62.000000,-52.000000,0.000000,bottom
"U1","R-78E3.3-0.5","Converter_DCDC_RECOM_R-78E-0.5_THT",15.000000,-50.000000,90.000000,bottom
"BTN1","BTN1","SW_SPST_B3S-1000",28.000000,-58.000000,0.000000,top
"BTN2","BTN2","SW_SPST_B3S-1000",46.000000,-58.000000,0.000000,top
"BTN3","BTN3","SW_SPST_B3S-1000",64.000000,-58.000000,0.000000,top
"C1","22uF/25V","C_1210_3225Metric",15.000000,-39.000000,0.000000,top
"F1","MF-R050","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",10.000000,-9.000000,0.000000,top
"J1","RJ45","RJ45_Amphenol_RJHSE5380",10.000000,-30.000000,90.000000,top
"J2","EPD_FFC_24","Hirose_FH12-24S-0.5SH_1x24-1MP_P0.50mm_Horizontal",42.500000,-9.000000,0.000000,top
"J3","UART-DBG","PinHeader_1x04_P2.54mm_Vertical",75.000000,-14.000000,0.000000,top
"J4","USB-OTG","PinHeader_1x04_P2.54mm_Vertical",75.000000,-38.000000,0.000000,top
"MOD1","ESP32-S3-WROOM-1-N16R8","ESP32-S3-WROOM-1U",60.000000,-30.000000,0.000000,top
"TVS1","SMAJ15A","D_SMA",28.000000,-13.000000,0.000000,top
"TVS2","SMAJ12CA","D_SMA",40.000000,-17.000000,0.000000,top
"U2","SN65HVD3082E","SOIC-8_3.9x4.9mm_P1.27mm",40.000000,-22.000000,0.000000,top
